,sample,sex,pop,pop_name,superpop,superpop_name
1,HG00098,male,GBR,British,EUR,European Ancestry
2,HG00101,male,GBR,British,EUR,European Ancestry
3,HG00106,female,GBR,British,EUR,European Ancestry
4,HG00113,male,GBR,British,EUR,European Ancestry
5,HG00118,female,GBR,British,EUR,European Ancestry
6,HG00120,female,GBR,British,EUR,European Ancestry
7,HG00125,female,GBR,British,EUR,European Ancestry
8,HG00132,female,GBR,British,EUR,European Ancestry
9,HG00137,female,GBR,British,EUR,European Ancestry
10,HG00144,female,GBR,British,EUR,European Ancestry
11,HG00149,male,GBR,British,EUR,European Ancestry
12,HG00151,male,GBR,British,EUR,European Ancestry
13,HG00156,male,GBR,British,EUR,European Ancestry
14,HG00182,male,FIN,Finnish,EUR,European Ancestry
15,HG00187,male,FIN,Finnish,EUR,European Ancestry
16,HG00233,female,GBR,British,EUR,European Ancestry
17,HG00238,female,GBR,British,EUR,European Ancestry
18,HG00240,female,GBR,British,EUR,European Ancestry
19,HG00245,female,GBR,British,EUR,European Ancestry
20,HG00423,female,CHS,Southern Han Chinese,EAS,East Asian Ancestry
21,HG00428,female,CHS,Southern Han Chinese,EAS,East Asian Ancestry
22,HG00442,male,CHS,Southern Han Chinese,EAS,East Asian Ancestry
23,HG00447,female,CHS,Southern Han Chinese,EAS,East Asian Ancestry
24,HG00459,male,CHS,Southern Han Chinese,EAS,East Asian Ancestry
25,HG00473,female,CHS,Southern Han Chinese,EAS,East Asian Ancestry
26,HG00478,male,CHS,Southern Han Chinese,EAS,East Asian Ancestry
27,HG00480,male,CHS,Southern Han Chinese,EAS,East Asian Ancestry
28,HG00500,male,CHS,Southern Han Chinese,EAS,East Asian Ancestry
29,HG00512,male,CHS,Southern Han Chinese,EAS,East Asian Ancestry
30,HG00524,male,CHS,Southern Han Chinese,EAS,East Asian Ancestry
31,HG00531,female,CHS,Southern Han Chinese,EAS,East Asian Ancestry
32,HG00308,male,FIN,Finnish,EUR,European Ancestry
33,HG00310,male,FIN,Finnish,EUR,European Ancestry
34,HG00315,female,FIN,Finnish,EUR,European Ancestry
35,HG00327,female,FIN,Finnish,EUR,European Ancestry
36,HG00334,female,FIN,Finnish,EUR,European Ancestry
37,HG00339,female,FIN,Finnish,EUR,European Ancestry
38,HG00341,male,FIN,Finnish,EUR,European Ancestry
39,HG00346,female,FIN,Finnish,EUR,European Ancestry
40,HG00353,female,FIN,Finnish,EUR,European Ancestry
41,HG00358,male,FIN,Finnish,EUR,European Ancestry
