FID,IID,O.HOM.,E.HOM.,N.NM.,F,pop,super_pop,gender,...5,...6,n_pop
HG00096,HG00096,1069294,1058000,1099344,0.2682,GBR,EUR,male,NA,NA,91
HG00097,HG00097,1065410,1058000,1099339,0.1736,GBR,EUR,female,NA,NA,91
HG00099,HG00099,1064172,1058000,1099327,0.1437,GBR,EUR,female,NA,NA,91
HG00100,HG00100,1063688,1058000,1099327,0.1319,GBR,EUR,female,NA,NA,91
HG00101,HG00101,1062966,1058000,1099339,0.1141,GBR,EUR,male,NA,NA,91
HG00102,HG00102,1061898,1058000,1099353,0.08786,GBR,EUR,female,NA,NA,91
HG00103,HG00103,1062374,1058000,1099332,0.09983,GBR,EUR,male,NA,NA,91
HG00105,HG00105,1064596,1058000,1099349,0.1536,GBR,EUR,male,NA,NA,91
HG00106,HG00106,1066127,1058000,1099340,0.1911,GBR,EUR,female,NA,NA,91
HG00107,HG00107,1063179,1058000,1099350,0.1191,GBR,EUR,male,NA,NA,91
HG00108,HG00108,1067376,1058000,1099341,0.2215,GBR,EUR,male,NA,NA,91
HG00109,HG00109,1063868,1058000,1099325,0.1363,GBR,EUR,male,NA,NA,91
HG00110,HG00110,1061785,1058000,1099352,0.08503,GBR,EUR,female,NA,NA,91
HG00111,HG00111,1063985,1058000,1099338,0.139,GBR,EUR,female,NA,NA,91
HG00112,HG00112,1064802,1058000,1099359,0.1585,GBR,EUR,male,NA,NA,91
HG00113,HG00113,1064917,1058000,1099359,0.1613,GBR,EUR,male,NA,NA,91
HG00114,HG00114,1066716,1058000,1099340,0.2054,GBR,EUR,male,NA,NA,91
HG00115,HG00115,1063047,1058000,1099336,0.1161,GBR,EUR,male,NA,NA,91
HG00116,HG00116,1066253,1058000,1099346,0.194,GBR,EUR,male,NA,NA,91
HG00117,HG00117,1073359,1058000,1099363,0.3667,GBR,EUR,male,NA,NA,91
HG00118,HG00118,1063431,1058000,1099348,0.1253,GBR,EUR,female,NA,NA,91
HG00119,HG00119,1063795,1058000,1099349,0.1341,GBR,EUR,male,NA,NA,91
