sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20
0,0,71,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,36,0,0,0,0
71,71,0,0,0,0,0,29,0,0,0,0,0,8,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,98,0,7,0,10,210,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,48,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,1
43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0
17,17,0,0,69,0,69,0,0,0,0,45,58,0,0,0,0,52,0,3
0,0,0,0,206,364,0,44,0,2,4,0,0,183,0,13,0,0,144,27
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,0,0,126,139,59,21,0,0,0,49,43,77,0,23,0,151,78,44
0,0,0,0,0,140,0,47,0,0,0,38,235,63,365,0,0,71,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,155,0,0,0,0,132,158,1,55,0,37,9,6,73,0,0,122,115,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,20,0,0,0,0,1,0,20,20,0,0,0,0,0,0,0
0,0,0,0,29,0,90,48,1,0,0,56,199,142,0,10,0,70,21,110
110,110,0,0,219,270,128,56,0,0,0,50,9,357,0,10,0,0,158,27
119,119,0,0,59,273,155,332,0,50,1,61,163,64,189,65,0,165,208,87
105,105,0,0,34,0,0,0,1,0,0,4,74,46,0,48,0,0,0,185
385,385,1,0,156,178,232,138,0,1,0,76,86,58,0,36,1,79,104,405
91,91,0,1,4,191,15,77,1,7,0,178,252,76,532,46,1,213,258,54
0,0,0,0,61,51,0,11,0,0,1,15,28,0,192,9,1,111,42,124
12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,87,0,0,12,1,59,137,0,1,0,96,553,190,141,42,0,266,40,44
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,126,148,71,213,0,0,0,73,144,276,1,23,1,2,103,33
45,45,0,0,112,29,99,0,0,0,2,21,15,64,58,5,0,73,82,194
57,57,0,0,0,0,1,117,0,0,0,86,0,30,32,0,0,4,0,0
95,95,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,94,0
389,389,0,0,167,0,346,23,0,0,0,99,231,109,739,39,0,89,257,27
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,269,1,0,421,91,117,518,2,7,2,164,190,176,44,52,1,469,194,231
0,0,0,0,34,0,158,0,0,3,0,90,0,10,64,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,16,0,0,0,31
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,18,0,2,109,52,0,0,0,0,0,3,0,0,0,0,0,60,0,1
0,0,0,0,78,0,0,0,0,17,1,0,75,1,0,0,0,130,68,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,49,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
79,79,0,0,11,0,122,0,0,0,0,1,0,0,0,0,0,51,110,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,239,0,0,85,4,384,6,0,0,0,0,52,57,0,1,0,0,0,46
123,123,0,0,1,0,0,161,0,0,0,0,0,54,0,0,0,42,0,136
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,111,0,0,0,0,44,50,0,0,0,16,0,0,0,7,1,32,5,46
0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,0,0,0,0,0,0,0,0,0,51,183,0,0,0,0,0,0,89
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,29,0,140,2,0,0,0,0,184,5,1,18,0,157,0,0
0,0,0,0,0,0,1,49,1,0,8,26,0,0,0,2,0,49,0,49
51,51,0,0,92,0,116,106,0,0,0,30,0,0,2,0,1,1,56,146
6,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0
0,0,0,0,117,0,21,35,0,0,0,0,0,0,0,3,0,35,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,327,0,1,96,42,60,93,0,33,3,25,125,46,208,34,0,108,5,71
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,61,56,0,0,0,0,0,0,0,0,0,8,0,5,47,56
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,20,87,0,0,0,69,279,157,388,0,1,307,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
