gene_symbol,ncbi_gene,ensembl_gene,db_gene_symbol,db_ncbi_gene,db_ensembl_gene,source_gene,gs_id,gs_name,gs_collection,gs_subcollection,gs_collection_name,gs_description,gs_source_species,gs_pmid,gs_geoid,gs_exact_source,gs_url,db_version,db_target_species,entrez_gene,gs_cat,gs_subcat
ABCA1,19,ENSG00000165029,ABCA1,19,ENSG00000165029,ABCA1,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,19,H,
ABCB8,11194,ENSG00000197150,ABCB8,11194,ENSG00000197150,ABCB8,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,11194,H,
ACAA2,10449,ENSG00000167315,ACAA2,10449,ENSG00000167315,ACAA2,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,10449,H,
ACADL,33,ENSG00000115361,ACADL,33,ENSG00000115361,ACADL,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,33,H,
ACADM,34,ENSG00000117054,ACADM,34,ENSG00000117054,ACADM,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,34,H,
ACADS,35,ENSG00000122971,ACADS,35,ENSG00000122971,ACADS,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,35,H,
ACLY,47,ENSG00000131473,ACLY,47,ENSG00000131473,ACLY,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,47,H,
ACO2,50,ENSG00000100412,ACO2,50,ENSG00000100412,ACO2,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,50,H,
ACOX1,51,ENSG00000161533,ACOX1,51,ENSG00000161533,ACOX1,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,51,H,
ADCY6,112,ENSG00000174233,ADCY6,112,ENSG00000174233,ADCY6,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,112,H,
ADIG,149685,ENSG00000182035,ADIG,149685,ENSG00000182035,ADIG,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,149685,H,
ADIPOQ,9370,ENSG00000181092,ADIPOQ,9370,ENSG00000181092,ADIPOQ,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,9370,H,
ADIPOR2,79602,ENSG00000006831,ADIPOR2,79602,ENSG00000006831,ADIPOR2,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,79602,H,
AGPAT3,56894,ENSG00000160216,AGPAT3,56894,ENSG00000160216,AGPAT3,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,56894,H,
AIFM1,9131,ENSG00000156709,AIFM1,9131,ENSG00000156709,AIFM1,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,9131,H,
AK2,204,ENSG00000004455,AK2,204,ENSG00000004455,AK2,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,204,H,
ALDH2,217,ENSG00000111275,ALDH2,217,ENSG00000111275,ALDH2,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,217,H,
ALDOA,226,ENSG00000149925,ALDOA,226,ENSG00000149925,ALDOA,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,226,H,
ANGPT1,284,ENSG00000154188,ANGPT1,284,ENSG00000154188,ANGPT1,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,284,H,
ANGPTL4,51129,ENSG00000167772,ANGPTL4,51129,ENSG00000167772,ANGPTL4,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,51129,H,
APLP2,334,ENSG00000084234,APLP2,334,ENSG00000084234,APLP2,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,334,H,
APOE,348,ENSG00000130203,APOE,348,ENSG00000130203,APOE,M5905,HALLMARK_ADIPOGENESIS,H,,Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,,,,2025.1.Hs,HS,348,H,
