,GeneSymbol,Type,ClinicalSignificance,clinsig
1,BRCA2,Deletion,Pathogenic,Pathogenic
2,BRCA2,Deletion,Pathogenic,Pathogenic
3,BRCA2,Deletion,Pathogenic,Pathogenic
4,BRCA2,Deletion,Pathogenic,Pathogenic
5,BRCA2,Deletion,Pathogenic,Pathogenic
6,BRCA2,Deletion,Pathogenic,Pathogenic
7,BRCA2,Microsatellite,Pathogenic,Pathogenic
8,BRCA2,Microsatellite,Pathogenic,Pathogenic
9,BRCA2,Deletion,Pathogenic,Pathogenic
10,BRCA2,Deletion,Pathogenic,Pathogenic
11,BRCA2,Microsatellite,Benign,Benign
12,BRCA2,Microsatellite,Benign,Benign
13,BRCA2,Deletion,Pathogenic,Pathogenic
14,BRCA2,Deletion,Pathogenic,Pathogenic
15,BRCA2,Deletion,Pathogenic,Pathogenic
16,BRCA2,Deletion,Pathogenic,Pathogenic
17,BRCA2,Microsatellite,Pathogenic,Pathogenic
18,BRCA2,Microsatellite,Pathogenic,Pathogenic
19,BRCA2,single nucleotide variant,Benign,Benign
20,BRCA2,single nucleotide variant,Benign,Benign
21,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
22,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
23,BRCA2,single nucleotide variant,Pathogenic,Pathogenic
24,BRCA2,single nucleotide variant,Pathogenic,Pathogenic
25,BRCA2,Deletion,Pathogenic,Pathogenic
26,BRCA2,Deletion,Pathogenic,Pathogenic
27,BRCA2,single nucleotide variant,Pathogenic,Pathogenic
28,BRCA2,single nucleotide variant,Pathogenic,Pathogenic
29,BRCA2,single nucleotide variant,Pathogenic,Pathogenic
30,BRCA2,single nucleotide variant,Pathogenic,Pathogenic
31,BRCA2,single nucleotide variant,Pathogenic,Pathogenic
32,BRCA2,single nucleotide variant,Pathogenic,Pathogenic
33,BRCA2,single nucleotide variant,Pathogenic,Pathogenic
34,BRCA2,single nucleotide variant,Pathogenic,Pathogenic
35,BRCA2,single nucleotide variant,Pathogenic,Pathogenic
36,BRCA2,single nucleotide variant,Pathogenic,Pathogenic
37,BRCA2,single nucleotide variant,Pathogenic,Pathogenic
38,BRCA2,single nucleotide variant,Pathogenic,Pathogenic
39,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
40,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
41,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
42,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
43,BRCA1,Microsatellite,Pathogenic,Pathogenic
44,BRCA1,Microsatellite,Pathogenic,Pathogenic
45,BRCA1,Deletion,Pathogenic,Pathogenic
46,BRCA1,Deletion,Pathogenic,Pathogenic
47,BRCA1,Microsatellite,Pathogenic,Pathogenic
48,BRCA1,Microsatellite,Pathogenic,Pathogenic
49,BRCA1,Deletion,Pathogenic,Pathogenic
50,BRCA1,Deletion,Pathogenic,Pathogenic
51,BRCA1,Deletion,Pathogenic,Pathogenic
52,BRCA1,Deletion,Pathogenic,Pathogenic
53,BRCA1,single nucleotide variant,Benign,Benign
54,BRCA1,single nucleotide variant,Benign,Benign
55,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
56,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
57,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
58,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
59,BRCA1,Microsatellite,Pathogenic,Pathogenic
60,BRCA1,Microsatellite,Pathogenic,Pathogenic
61,BRCA1,Deletion,Pathogenic,Pathogenic
